courseID,courseTitle,courseLink
90022, Advanced Epidemiology,https://handbook.uts.edu.au/subjects/details/090022.html
90023, Complex Critical Care,https://handbook.uts.edu.au/subjects/details/090023.html
90024, Professional Practice in Critical Care,https://handbook.uts.edu.au/subjects/details/090024.html
90025, Trauma Informed Mental Health Care and Practice,https://handbook.uts.edu.au/subjects/details/090025.html
90039, Creating a Culture of Teaching and Learning in Healthcare,https://handbook.uts.edu.au/subjects/details/090039.html
90040, Assisted Reproduction,https://handbook.uts.edu.au/subjects/details/090040.html
90041, Legal and Ethical Issues in Women's Health,https://handbook.uts.edu.au/subjects/details/090041.html
90042, Reproductive and Sexual Health,https://handbook.uts.edu.au/subjects/details/090042.html
90043, Health Economics,https://handbook.uts.edu.au/subjects/details/090043.html
90044, Program Evaluation in Public Health,https://handbook.uts.edu.au/subjects/details/090044.html
90045, Advanced Professional Practice,https://handbook.uts.edu.au/subjects/details/090045.html
90046," Ageing: Health, Illness and Decline",https://handbook.uts.edu.au/subjects/details/090046.html
90047, Applied Pathophysiology in Practice,https://handbook.uts.edu.au/subjects/details/090047.html
90048, Collaborative and Integrative Mental Health Care,https://handbook.uts.edu.au/subjects/details/090048.html
90049, Comprehensive Physical Assessment and Diagnostic Reasoning,https://handbook.uts.edu.au/subjects/details/090049.html
90050, Evidence for Informing Practice,https://handbook.uts.edu.au/subjects/details/090050.html
90051, Chronic Condition Prevention in a Modern Age,https://handbook.uts.edu.au/subjects/details/090051.html
90052, Nursing-Sensitive Indicators in Acute Care,https://handbook.uts.edu.au/subjects/details/090052.html
90053, Quality and Safety in Medicines,https://handbook.uts.edu.au/subjects/details/090053.html
90054, Recognising and Responding to Acute Deterioration,https://handbook.uts.edu.au/subjects/details/090054.html
90055, Research in Health,https://handbook.uts.edu.au/subjects/details/090055.html
90056, Specialty Clinical Practice,https://handbook.uts.edu.au/subjects/details/090056.html
90059, Introduction to Health Technology Assessment,https://handbook.uts.edu.au/subjects/details/090059.html
96326, Improving Safety and Quality in Healthcare,https://handbook.uts.edu.au/subjects/details/096326.html
96327, Leading Health and Social Care,https://handbook.uts.edu.au/subjects/details/096327.html
96328, Systems and Service Innovation,https://handbook.uts.edu.au/subjects/details/096328.html
96329, Implementing and Evaluating Change,https://handbook.uts.edu.au/subjects/details/096329.html
96330, Quality and Safety Improvement Methods,https://handbook.uts.edu.au/subjects/details/096330.html
96331, Planning for Health and Social Services,https://handbook.uts.edu.au/subjects/details/096331.html
96332, Fundamentals of Health Information Management,https://handbook.uts.edu.au/subjects/details/096332.html
96335, Contemporary Approaches to Digital Health,https://handbook.uts.edu.au/subjects/details/096335.html
96336, Organisational Management in Health Care,https://handbook.uts.edu.au/subjects/details/096336.html
96337, Foundations of Healthcare Systems,https://handbook.uts.edu.au/subjects/details/096337.html
96340, Managing for Value-Based Care,https://handbook.uts.edu.au/subjects/details/096340.html
96341," Policy, Power and Politics in Health Care",https://handbook.uts.edu.au/subjects/details/096341.html
96342, Using Health Care Data for Decision Making,https://handbook.uts.edu.au/subjects/details/096342.html
11119, Landscape Architecture Studio 1,https://handbook.uts.edu.au/subjects/details/11119.html
11128, Communications 1,https://handbook.uts.edu.au/subjects/details/11128.html
11129, Communications 2,https://handbook.uts.edu.au/subjects/details/11129.html
11130, Landscape Architecture Studio 3,https://handbook.uts.edu.au/subjects/details/11130.html
11147, Landscape Architecture Global Studio,https://handbook.uts.edu.au/subjects/details/11147.html
11148, Landscape Architecture Global Studio B,https://handbook.uts.edu.au/subjects/details/11148.html
11149, Landscape Architecture Global Studio C,https://handbook.uts.edu.au/subjects/details/11149.html
11150, Landscape for Well-being,https://handbook.uts.edu.au/subjects/details/11150.html
11172, Landscape History and Theory 1,https://handbook.uts.edu.au/subjects/details/11172.html
11174, Landscape History and Theory 2,https://handbook.uts.edu.au/subjects/details/11174.html
11177, Botany,https://handbook.uts.edu.au/subjects/details/11177.html
11180, Construction,https://handbook.uts.edu.au/subjects/details/11180.html
11182, Urbanisms,https://handbook.uts.edu.au/subjects/details/11182.html
